City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hilo,19.7297,-155.09,69.8,78,1,6.91,US,1610090621
Mareeba,-17.0,145.4333,86.0,79,75,4.61,AU,1610090246
Cabo San Lucas,22.8909,-109.9124,61.0,68,0,1.01,MX,1610090457
Saskylakh,71.9167,114.0833,-25.15,85,99,6.76,RU,1610090151
Cross Lanes,38.4204,-81.7907,35.01,80,90,6.91,US,1610090458
East London,-33.0153,27.9116,73.4,78,20,17.27,ZA,1610090190
Hobart,-42.8794,147.3294,69.01,63,20,17.27,AU,1610089986
Gasa,31.5,34.4667,66.99,35,0,1.99,PS,1610090458
Cape Town,-33.9258,18.4232,75.0,53,0,18.41,ZA,1610090281
Awjilah,29.1081,21.2869,61.61,48,14,1.86,LY,1610090459
Saint-Philippe,-21.3585,55.7679,84.2,58,0,27.63,RE,1610090078
Zeerust,-25.5369,26.0751,73.4,73,75,10.36,ZA,1610090459
Dikson,73.5069,80.5464,-2.58,92,100,15.37,RU,1610090075
Provideniya,64.3833,-173.3,-8.19,82,0,4.14,RU,1610090089
Saint-Augustin,51.226,-58.6502,41.25,86,100,21.63,CA,1610090193
Marquette,46.5333,-87.6335,28.99,82,100,4.03,US,1610090460
Tuktoyaktuk,69.4541,-133.0374,-7.6,77,1,6.91,CA,1610090119
Butaritari,3.0707,172.7902,81.16,83,23,20.04,KI,1610090669
Nikolskoye,59.7035,30.7861,24.8,86,75,6.71,RU,1610090085
Baiao,-2.7906,-49.6717,72.57,98,95,0.56,BR,1610090461
Jamestown,42.097,-79.2353,25.0,93,90,4.61,US,1610090648
Tahoua,14.8888,5.2692,71.6,17,0,6.91,NE,1610090461
Tuy Hoa,13.0833,109.3,74.3,86,95,17.18,VN,1610090461
Ostrovnoy,68.0531,39.5131,8.29,94,5,7.74,RU,1610090092
Colon,9.3592,-79.9014,77.0,81,80,8.01,PA,1610090462
Bakchar,57.0186,82.0711,-4.86,89,100,3.2,RU,1610090462
Ayan,56.45,138.1667,-14.85,75,96,6.93,RU,1610090194
Upernavik,72.7868,-56.1549,-3.77,91,12,9.17,GL,1610090086
Santiago,-33.4569,-70.6483,68.0,63,0,6.91,CL,1610090347
Terrace,54.5163,-128.6035,35.6,80,75,19.57,CA,1610090249
Freeport,40.6576,-73.5832,30.99,64,1,10.36,US,1610090464
Chernyshevskiy,63.0128,112.4714,4.19,94,100,9.57,RU,1610090464
Albany,42.6001,-73.9662,25.0,77,11,5.99,US,1610090386
Asfi,32.2994,-9.2372,62.37,87,100,21.59,MA,1610090132
Vaini,-21.2,-175.2,78.8,94,75,3.44,TO,1610090673
Katsuura,35.1333,140.3,46.99,28,50,8.01,JP,1610090673
Saint Anthony,45.0205,-93.218,21.0,93,90,1.7,US,1610090229
Barrow,71.2906,-156.7887,-7.6,77,90,2.77,US,1610090089
Briancon,44.9,6.65,23.0,64,0,2.73,FR,1610090465
Salekhard,66.53,66.6019,-17.46,87,86,10.16,RU,1610090465
Touros,-5.1989,-35.4608,77.0,83,20,5.75,BR,1610090177
Alta Floresta,-9.8756,-56.0861,72.3,85,100,1.12,BR,1610090466
Petropavlovsk-Kamchatskiy,53.0452,158.6483,1.4,71,40,6.71,RU,1610090466
Longyearbyen,78.2186,15.6401,37.4,56,40,12.66,SJ,1610090511
Aschersleben,51.75,11.4667,35.01,88,81,1.01,DE,1610090466
Hermanus,-34.4187,19.2345,72.0,68,100,3.0,ZA,1610090076
Mataura,-46.1927,168.8643,57.99,71,54,11.01,NZ,1610090078
Arraial Do Cabo,-22.9661,-42.0278,75.43,92,2,9.69,BR,1610090467
Waingapu,-9.6567,120.2641,85.08,70,95,4.88,ID,1610090083
Sur,22.5667,59.5289,68.16,42,0,23.62,OM,1610090468
Bredasdorp,-34.5322,20.0403,73.4,53,88,8.05,ZA,1610090129
Verkhnevilyuysk,63.4453,120.3167,-7.04,91,100,0.29,RU,1610090308
Vinzili,56.9594,65.7708,1.4,71,0,11.18,RU,1610090468
Boende,-0.2167,20.8667,73.87,90,100,3.83,CD,1610090468
Atikokan,48.7555,-91.6216,16.02,97,33,3.53,CA,1610090469
Busselton,-33.65,115.3333,100.99,16,0,5.99,AU,1610090677
Ushuaia,-54.8,-68.3,46.4,87,75,14.97,AR,1610090677
Atuona,-9.8,-139.0333,77.31,76,2,13.47,PF,1610090678
Flinders,-34.5833,150.8552,72.0,65,54,1.99,AU,1610089916
Ribeira Grande,38.5167,-28.7,53.6,71,20,6.91,PT,1610090470
Ancud,-41.8697,-73.8203,48.0,87,75,3.44,CL,1610090119
Batagay-Alyta,67.8006,130.4114,-11.24,89,100,1.23,RU,1610090470
San Cristobal,7.7669,-72.225,64.04,83,88,1.45,VE,1610090471
Ponta Do Sol,32.6667,-17.1,50.0,76,88,5.01,PT,1610090471
San Patricio,28.017,-97.5169,50.0,76,1,10.36,US,1610090471
Rikitea,-23.1203,-134.9692,78.33,70,97,0.69,PF,1610090680
Borogontsy,62.6683,131.1683,-46.91,76,58,4.16,RU,1610090204
Kruisfontein,-34.0033,24.7314,78.01,68,49,8.99,ZA,1610090680
Port Moresby,-9.4431,147.1797,87.8,74,40,16.11,PG,1610090472
Hithadhoo,-0.6,73.0833,83.48,79,83,18.61,MV,1610090681
Geraldton,-28.7667,114.6,96.8,20,93,13.8,AU,1610090168
Celestun,20.8667,-90.4,69.98,77,1,12.73,MX,1610090473
Salinopolis,-0.6136,-47.3561,79.95,83,87,9.93,BR,1610090473
Piacabucu,-10.4056,-36.4344,76.23,84,73,6.46,BR,1610090473
Fujin,47.26,132.0322,-9.83,83,100,9.06,CN,1610090244
Thompson,55.7435,-97.8558,14.0,100,1,6.91,CA,1610090463
Kodinsk,58.6881,99.1844,-1.26,85,0,6.55,RU,1610090236
Saint George,37.1041,-113.5841,39.2,41,1,4.61,US,1610090427
Port Hedland,-20.3167,118.5667,93.2,52,42,10.36,AU,1610090474
Ibra,22.6906,58.5334,65.88,39,0,15.35,OM,1610090316
Bluff,-46.6,168.3333,57.0,73,63,8.99,NZ,1610090683
Richards Bay,-28.783,32.0377,81.36,61,0,8.93,ZA,1610090361
Aquidauana,-20.4711,-55.7872,73.83,90,99,1.81,BR,1610090475
Westport,41.1415,-73.3579,28.99,69,1,6.91,US,1610090232
Hami,42.8,93.45,17.82,57,98,8.59,CN,1610090134
Mandalgovi,45.7625,106.2708,5.72,83,0,24.58,MN,1610090476
Punta Arenas,-53.15,-70.9167,48.2,81,90,18.41,CL,1610090476
Castro,-24.7911,-50.0119,64.6,96,100,3.22,BR,1610090122
Pacific Grove,36.6177,-121.9166,51.01,87,1,3.09,US,1610090339
Alofi,-19.0595,-169.9187,78.8,89,93,4.61,NU,1610090144
Padang,-0.9492,100.3543,85.91,67,100,5.19,ID,1610090194
Cherskiy,68.75,161.3,-13.27,89,97,1.77,RU,1610090144
Fortuna,40.5982,-124.1573,52.0,93,75,20.71,US,1610090130
Minsk,53.9,27.5667,28.4,93,75,8.95,BY,1610090380
Bethel,41.3712,-73.414,26.6,68,1,4.61,US,1610090142
Ipameri,-17.7219,-48.1597,66.72,92,100,2.06,BR,1610090478
Iqaluit,63.7506,-68.5145,-20.2,69,40,2.3,CA,1610090088
Labuhan,-6.8844,112.2051,81.57,80,99,5.14,ID,1610090120
Bose,45.4612,8.0137,28.99,84,0,4.74,IT,1610090479
Dunda,-8.1167,34.25,76.6,75,80,1.79,TZ,1610090479
Kapaa,22.0752,-159.319,69.8,88,1,5.75,US,1610090687
Tezu,27.9167,96.1667,80.19,23,0,4.0,IN,1610090479
Necochea,-38.5473,-58.7368,61.0,85,53,15.95,AR,1610090688
Lichinga,-13.3128,35.2406,75.2,78,75,10.36,MZ,1610090480
Carnarvon,-24.8667,113.6333,93.2,49,36,19.57,AU,1610089984
Cidreira,-30.1811,-50.2056,72.68,86,4,7.67,BR,1610090137
Talnakh,69.4865,88.3972,-11.27,88,100,14.92,RU,1610090135
Matagami,49.7502,-77.6328,-0.4,92,90,5.75,CA,1610090481
Souillac,-20.5167,57.5167,82.4,69,75,13.8,MU,1610090140
Mar Del Plata,-38.0023,-57.5575,62.6,88,90,3.44,AR,1610090481
Port Alfred,-33.5906,26.891,75.0,84,54,10.0,ZA,1610090481
Portland,45.5234,-122.6762,48.99,66,75,23.02,US,1610090285
Avesta,60.1455,16.1679,32.0,93,90,3.44,SE,1610090482
Victoria,22.2855,114.1577,50.0,40,100,1.99,HK,1610089886
Atbasar,51.8,68.3333,-14.85,87,66,4.47,KZ,1610090482
Meadow Lake,34.8014,-106.5436,37.4,28,20,3.44,US,1610090482
Riyadh,24.6877,46.7219,53.6,76,75,8.05,SA,1610090242
Artyom,40.4723,50.333,44.6,65,0,29.93,AZ,1610090483
New Norfolk,-42.7826,147.0587,73.99,44,72,1.99,AU,1610090483
Plastun,44.7561,136.2939,-4.13,76,100,14.67,RU,1610090483
Puerto Ayora,-0.7393,-90.3518,73.0,95,1,6.06,EC,1610090484
Ahipara,-35.1667,173.1667,66.9,82,13,7.16,NZ,1610090206
Panaci,47.2667,25.3833,24.01,85,100,1.74,RO,1610090484
Fallon,39.4735,-118.7774,28.4,64,75,5.75,US,1610090484
Atherton,53.5237,-2.4935,36.0,87,100,4.0,GB,1610090485
Khatanga,71.9667,102.5,-1.28,93,100,8.03,RU,1610090693
Cayenne,4.9333,-52.3333,73.4,100,75,5.79,GF,1610090693
Tateyama,34.9833,139.8667,46.99,28,47,8.01,JP,1610090485
Leningradskiy,69.3833,178.4167,-15.74,83,38,6.22,RU,1610090694
College,64.8569,-147.8028,-0.4,78,75,3.8,US,1610090179
Valkeala,60.9401,26.7979,23.0,93,90,6.91,FI,1610090486
Baykit,61.67,96.37,-13.31,82,0,4.41,RU,1610090279
Horsham,51.064,-0.3272,28.99,100,40,1.14,GB,1610090486
Sars,56.5502,57.1366,10.17,95,100,9.95,RU,1610090487
Bambous Virieux,-20.3428,57.7575,82.99,69,75,13.8,MU,1610090215
Pevek,69.7008,170.3133,-10.66,91,98,3.31,RU,1610090123
Port Elizabeth,-33.918,25.5701,75.2,78,75,20.71,ZA,1610090488
Hambantota,6.1241,81.1185,84.2,84,75,6.91,LK,1610090214
Lata,40.1629,-8.3327,39.99,69,100,3.44,PT,1610090234
Georgetown,5.4112,100.3354,89.6,58,40,11.5,MY,1610090553
Antsohihy,-14.8796,47.9875,90.27,59,0,1.99,MG,1610090489
Qaanaaq,77.484,-69.3632,-7.2,86,100,15.23,GL,1610090697
Muros,42.7762,-9.0603,36.0,80,0,1.99,ES,1610090489
Nanortalik,60.1432,-45.2371,36.54,95,100,1.97,GL,1610090118
Tazmalt,36.3868,4.3989,53.15,69,100,6.49,DZ,1610090489
Yellowknife,62.456,-114.3525,-4.0,84,1,5.75,CA,1610090698
Tasiilaq,65.6145,-37.6368,14.0,67,0,35.68,GL,1610090122
Oudtshoorn,-33.5907,22.2014,68.0,88,90,6.91,ZA,1610090299
Gunjur,13.2019,-16.7339,62.6,94,0,13.18,GM,1610090490
Chokurdakh,70.6333,147.9167,-11.67,90,100,5.97,RU,1610090133
Bazarnyye Mataki,54.8833,49.9333,19.63,97,100,12.44,RU,1610090491
Chuy,-33.6971,-53.4616,65.03,87,0,6.15,UY,1610090699
Zhuanghe,39.7008,122.9911,8.42,71,0,13.8,CN,1610090491
Nizhniy Kuranakh,58.8353,125.4869,-3.37,89,100,8.75,RU,1610090491
Teguldet,57.3064,88.1667,-6.03,84,100,5.39,RU,1610090241
Nuuk,64.1835,-51.7216,17.6,73,20,19.57,GL,1610090434
Ha Tinh,18.3333,105.9,54.05,76,86,13.09,VN,1610090492
Olafsvik,64.8945,-23.7142,41.63,93,100,24.23,IS,1610090232
Antanifotsy,-19.65,47.3167,78.17,48,0,3.02,MG,1610090493
Moose Factory,51.2585,-80.6094,-0.4,84,1,4.61,CA,1610090493
Keti Bandar,24.1447,67.4497,72.01,23,0,14.32,PK,1610090493
Sitka,57.0531,-135.33,46.4,66,90,13.8,US,1610090701
Murygino,58.7383,49.4582,10.45,95,100,5.41,RU,1610090494
Clyde River,70.4692,-68.5914,1.4,66,75,9.22,CA,1610090494
Kendari,-3.945,122.4989,83.34,82,83,2.75,ID,1610090494
Lagoa,39.05,-27.9833,55.92,71,0,15.61,PT,1610090702
Campbellsville,37.3434,-85.3419,35.01,100,40,6.91,US,1610090495
Codrington,-38.2667,141.9667,66.22,69,0,16.4,AU,1610090703
Narsaq,60.9167,-46.05,35.6,93,90,1.14,GL,1610090136
Ewa Beach,21.3156,-158.0072,75.2,83,1,4.41,US,1610090495
Oktyabrskiy,54.4815,53.471,15.75,95,100,12.08,RU,1610090496
Whitehaven,54.549,-3.5841,30.0,95,100,4.0,GB,1610090496
De Haan,51.272,3.0429,39.2,81,75,11.5,BE,1610090497
Yomou,7.5603,-9.2653,70.25,97,100,1.86,GN,1610090497
Kaitangata,-46.2817,169.8464,57.0,63,64,8.01,NZ,1610090127
Avarua,-21.2078,-159.775,78.8,78,20,5.75,CK,1610090704
Karratha,-20.7377,116.8463,96.67,40,19,15.41,AU,1610090127
Laguna,38.421,-121.4238,42.01,93,1,3.44,US,1610090244
Maridi,4.9158,29.4742,83.61,26,0,6.67,SS,1610090498
Torbay,47.6666,-52.7314,42.01,100,90,14.97,CA,1610090705
Sabang,5.8933,95.3214,83.05,75,0,22.66,ID,1610090249
Whitianga,-36.8333,175.7,72.0,74,0,5.01,NZ,1610090499
Bagdarin,54.4333,113.6,-3.51,82,100,5.19,RU,1610090499
Bandar-E Lengeh,26.5579,54.8807,66.2,30,0,13.8,IR,1610090500
Vila Velha,-20.3297,-40.2925,77.0,83,0,10.36,BR,1610090361
Parsabad,39.6482,47.9174,39.2,87,0,4.61,IR,1610090500
Newport,51.5877,-2.9984,36.0,97,100,5.97,GB,1610090501
Miyako,39.6367,141.9525,26.02,84,8,10.45,JP,1610090501
Port-Cartier,50.0334,-66.8654,21.2,73,100,13.8,CA,1610090193
Oliveira De Azemeis,40.841,-8.4756,39.99,65,0,8.05,PT,1610090502
Savannah Bight,16.45,-85.85,75.99,89,100,7.14,HN,1610090502
Cravo Norte,6.3017,-70.2041,74.8,85,78,2.89,CO,1610090502
Bauchi,10.5,10.0,68.58,24,83,4.63,NG,1610090503
Ilulissat,69.2167,-51.1,10.4,72,75,20.71,GL,1610090146
Witu,-2.3889,40.4382,84.2,65,20,5.68,KE,1610090503
Sarti,40.1,23.9833,59.81,73,46,13.13,GR,1610090504
Wendo,6.6,38.4167,70.48,38,67,3.36,ET,1610090504
Berkovica,44.6156,18.4294,35.6,100,90,1.14,BA,1610090504
Husavik,66.0449,-17.3389,42.8,70,90,14.97,IS,1610090151
Mahebourg,-20.4081,57.7,82.4,69,75,13.8,MU,1610090710
Zhigansk,66.7697,123.3711,-33.36,83,100,10.56,RU,1610090711
Samarai,-10.6167,150.6667,84.13,72,100,6.44,PG,1610090291
Pecos,31.4229,-103.4932,37.4,56,1,5.75,US,1610090406
San Ciro De Acosta,21.6333,-99.8167,51.31,59,39,0.67,MX,1610090506
Kapoeta,4.7717,33.5903,89.06,24,35,10.07,SS,1610090506
Yaan,7.3833,8.5667,77.79,81,28,7.34,NG,1610090506
Luderitz,-26.6481,15.1594,69.73,60,0,10.18,NA,1610090153
Snezhnogorsk,69.1933,33.2531,5.0,85,75,4.47,RU,1610090507
Bathsheba,13.2167,-59.5167,77.0,83,75,18.41,BB,1610090243
Bilibino,68.0546,166.4372,-15.68,86,87,1.45,RU,1610090713
Tautira,-17.7333,-149.15,80.6,74,75,4.61,PF,1610090713
Sheridan,44.8333,-106.9173,34.0,86,90,12.66,US,1610090302
Grindavik,63.8424,-22.4338,42.8,100,90,32.21,IS,1610090206
Bilma,18.6853,12.9164,72.01,21,0,7.31,NE,1610090265
Xiongyue,40.1774,122.1228,6.98,78,0,10.85,CN,1610090508
Tazovskiy,67.4667,78.7,-7.42,91,100,16.4,RU,1610090238
Airai,-8.9266,125.4092,66.74,100,100,2.28,TL,1610090155
Lebu,-37.6167,-73.65,52.65,83,100,17.47,CL,1610090132
Kodiak,57.79,-152.4072,35.6,93,90,10.36,US,1610090715
Qui Nhon,13.7667,109.2333,73.96,85,92,20.18,VN,1610090511
Lorengau,-2.0226,147.2712,80.29,87,99,12.59,PG,1610090155
Guerrero Negro,27.9769,-114.0611,58.24,65,0,6.35,MX,1610090512
Caravelas,-17.7125,-39.2481,73.78,92,3,6.17,BR,1610090133
Lompoc,34.6391,-120.4579,50.0,87,90,4.61,US,1610090171
Lasa,46.6166,10.7002,24.01,86,0,1.14,IT,1610090284
Santa Maria Chiquimula,15.0303,-91.3292,45.0,100,95,1.05,GT,1610090513
Rezekne,56.5,27.3167,19.72,98,100,8.97,LV,1610090513
Coos Bay,43.3665,-124.2179,50.0,76,90,13.8,US,1610090513
Vostok,46.4856,135.8833,-16.91,84,100,3.83,RU,1610090232
Nortelandia,-14.4547,-56.8028,72.25,90,99,0.51,BR,1610090281
Okhotsk,59.3833,143.3,-17.86,84,84,11.52,RU,1610090515
Shangrao,28.4532,117.9686,37.9,61,13,7.56,CN,1610090717
Fairbanks,64.8378,-147.7164,-0.4,78,75,3.6,US,1610090663
Hecun,36.5333,114.1111,30.58,53,0,15.01,CN,1610090516
Mehamn,71.0357,27.8492,21.2,63,0,24.16,NO,1610090223
Marzuq,14.4,46.4667,62.82,30,0,5.08,YE,1610090125
Tokur,53.1333,132.9,-31.4,85,66,1.86,RU,1610090517
Nigran,42.1415,-8.8066,39.0,100,20,3.44,ES,1610090517
Lucea,18.451,-78.1736,75.2,83,20,5.75,JM,1610090274
Port Augusta,-32.5,137.7667,93.0,39,0,17.27,AU,1610090518
Norman Wells,65.282,-126.8329,-11.2,84,1,3.44,CA,1610090518
Tura,25.5198,90.2201,79.45,39,78,4.45,IN,1610090720
Qaqortoq,60.7167,-46.0333,35.6,93,90,1.14,GL,1610090239
Miandrivazo,-19.5167,45.4667,86.83,61,88,0.25,MG,1610090519
Denver,39.7392,-104.9847,33.01,59,0,4.0,US,1610090513
Naze,28.3667,129.4833,51.8,66,75,16.11,JP,1610090721
Pemangkat,1.1667,108.9667,80.8,84,100,12.5,ID,1610090520
Hovd,48.0056,91.6419,-5.82,79,3,3.02,MN,1610090211
Camana,-16.6228,-72.7111,70.77,76,2,6.38,PE,1610090520
Colac,-38.3333,143.5833,66.0,74,0,5.99,AU,1610090520
Arbazh,57.6804,48.3065,12.42,96,88,5.99,RU,1610090521
Grand Gaube,-20.0064,57.6608,82.99,69,3,10.0,MU,1610090521
Monrovia,6.3005,-10.7969,75.2,94,40,2.62,LR,1610090185
Rio Gallegos,-51.6226,-69.2181,53.6,54,75,13.8,AR,1610090521
Bandarban,22.1965,92.2262,88.34,26,8,5.19,BD,1610090522
Nunchia,5.6406,-72.1986,70.83,77,98,2.93,CO,1610090522
Vagur,61.4732,-6.8119,33.53,84,100,10.11,FO,1610090522
Inirida,3.8653,-67.9239,72.12,98,100,0.56,CO,1610090523
Atar,20.5169,-13.0499,62.42,56,0,1.7,MR,1610090140
Mirzapur,25.15,82.5833,69.8,73,20,1.14,IN,1610090523
Yabassi,4.457,9.9682,78.8,100,40,3.44,CM,1610090523
Omboue,-1.5746,9.2618,76.35,91,100,5.59,GA,1610090524
Baft,29.234,56.6057,41.27,34,0,0.92,IR,1610090524
Nome,64.5011,-165.4064,3.2,78,90,9.22,US,1610090143
Shimoda,34.6667,138.95,41.0,45,40,17.27,JP,1610090282
Beringovskiy,63.05,179.3167,-16.69,86,0,4.25,RU,1610090725
Santa Catalina,9.3337,122.8637,82.4,83,75,6.91,PH,1610090293
Marsh Harbour,26.5412,-77.0636,72.32,73,17,14.92,BS,1610090525
Kavaratti,10.5669,72.642,82.24,69,33,1.41,IN,1610090204
Burgeo,47.6167,-57.6152,39.51,95,100,9.64,CA,1610090526
Medina,24.4686,39.6142,64.4,55,20,13.8,SA,1610090526
Camopi,3.1655,-52.3158,71.28,98,72,1.57,GF,1610090526
Pauini,-7.7136,-66.9764,70.36,97,100,1.32,BR,1610090527
Saldanha,-33.0117,17.9442,73.4,56,0,12.66,ZA,1610090194
Oranjemund,-28.55,16.4333,63.25,83,83,13.02,NA,1610090178
Capreol,46.706,-80.9225,5.0,85,20,9.22,CA,1610090527
Joacaba,-27.1781,-51.5047,66.27,91,88,0.96,BR,1610090528
Peterhead,57.5058,-1.7981,32.0,93,75,13.8,GB,1610090528
San Jose,37.3394,-121.895,48.99,87,75,0.29,US,1610090296
Veraval,20.9,70.3667,78.89,43,0,10.36,IN,1610090528
Sao Filipe,14.8961,-24.4956,73.06,81,0,8.59,CV,1610090529
Raudeberg,61.9875,5.1352,34.0,76,92,9.53,NO,1610090729
Katherine,-14.4667,132.2667,98.6,36,40,6.91,AU,1610090729
